epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4631,1.02185,1.55681,0.97731,0.76943,0.67514,0.7763,0.55948,0.78501,1.03511,0.87094,0.00040625,0.00040625,0.00040625
2,101.541,0.8035,0.83752,0.89179,0.40207,0.61928,0.46143,0.29378,1.02912,2.66803,0.98331,0.000820859,0.000820859,0.000820859
3,151.219,0.80912,0.88889,0.89192,0.76895,0.66233,0.75718,0.52471,0.89549,1.34774,0.92722,0.00123339,0.00123339,0.00123339
4,201.106,0.8755,0.76477,0.9025,0.32605,0.47082,0.25632,0.17445,1.19049,16.6265,1.65378,0.00124062,0.00124062,0.00124062
5,250.659,0.78115,0.67309,0.88573,0.83052,0.74931,0.83954,0.59381,0.84173,0.82208,0.89368,0.0012375,0.0012375,0.0012375
6,300.499,0.70044,0.63109,0.87104,0.81038,0.73856,0.79126,0.57327,0.79437,0.7736,0.86805,0.00123438,0.00123438,0.00123438
7,350.351,0.67448,0.59063,0.8566,0.83458,0.78884,0.84902,0.64436,0.6426,0.62934,0.84795,0.00123125,0.00123125,0.00123125
8,400.031,0.65721,0.56743,0.85576,0.87981,0.76122,0.83816,0.63667,0.66234,0.61732,0.83925,0.00122812,0.00122812,0.00122812
9,449.63,0.63661,0.54168,0.85368,0.85684,0.81287,0.87232,0.65399,0.67822,0.57627,0.84297,0.001225,0.001225,0.001225
10,499.42,0.66616,0.54065,0.85843,0.87752,0.8036,0.88256,0.68583,0.64052,0.57098,0.84273,0.00122188,0.00122188,0.00122188
11,549.301,0.6366,0.51749,0.84229,0.86326,0.80129,0.87248,0.65793,0.64417,0.5774,0.83919,0.00121875,0.00121875,0.00121875
12,598.877,0.60021,0.53219,0.84252,0.87382,0.80245,0.88683,0.69734,0.60607,0.56156,0.84555,0.00121562,0.00121562,0.00121562
13,648.826,0.57595,0.5029,0.84128,0.90236,0.77786,0.8804,0.70439,0.54385,0.53164,0.82366,0.0012125,0.0012125,0.0012125
14,698.904,0.61309,0.50254,0.8405,0.89717,0.81385,0.88836,0.72124,0.5355,0.48535,0.82273,0.00120938,0.00120938,0.00120938
15,748.803,0.59088,0.48762,0.83716,0.896,0.79631,0.88241,0.7227,0.5369,0.52047,0.82454,0.00120625,0.00120625,0.00120625
16,799.445,0.60547,0.49435,0.83845,0.88771,0.81435,0.88954,0.71676,0.5512,0.48594,0.82299,0.00120312,0.00120312,0.00120312
17,848.941,0.56138,0.46377,0.83534,0.89223,0.86032,0.90896,0.74175,0.50051,0.44696,0.81419,0.0012,0.0012,0.0012
18,898.882,0.53847,0.4603,0.83037,0.92699,0.82664,0.91313,0.73799,0.55209,0.44974,0.82153,0.00119688,0.00119688,0.00119688
19,948.665,0.56507,0.44969,0.83498,0.91425,0.85895,0.9209,0.72492,0.61546,0.44259,0.82625,0.00119375,0.00119375,0.00119375
20,998.404,0.56647,0.4517,0.83429,0.92428,0.81611,0.90966,0.71925,0.63147,0.47539,0.83252,0.00119063,0.00119063,0.00119063
21,1048.27,0.5466,0.44868,0.82891,0.91113,0.83285,0.90828,0.73096,0.54384,0.4776,0.81992,0.0011875,0.0011875,0.0011875
22,1098.51,0.53982,0.43964,0.82768,0.89465,0.84991,0.90592,0.73182,0.51626,0.46595,0.81337,0.00118438,0.00118438,0.00118438
23,1148.09,0.53744,0.43887,0.82569,0.88983,0.82339,0.87818,0.72418,0.51936,0.46231,0.81428,0.00118125,0.00118125,0.00118125
24,1197.77,0.5327,0.43604,0.82685,0.91641,0.83924,0.90632,0.74588,0.48306,0.45346,0.80883,0.00117813,0.00117813,0.00117813
25,1251.26,0.53102,0.42883,0.82098,0.89653,0.85122,0.90798,0.7496,0.48794,0.42806,0.81466,0.001175,0.001175,0.001175
26,1301.06,0.52833,0.42527,0.82581,0.93165,0.84796,0.9205,0.75707,0.50711,0.40793,0.81202,0.00117187,0.00117187,0.00117187
27,1351,0.52079,0.41113,0.82087,0.92926,0.85799,0.92321,0.76974,0.47534,0.38804,0.80688,0.00116875,0.00116875,0.00116875
28,1402.36,0.52642,0.42048,0.8209,0.92312,0.82816,0.91322,0.76126,0.45565,0.43759,0.80622,0.00116562,0.00116562,0.00116562
29,1451.99,0.54035,0.44465,0.82484,0.92273,0.86766,0.91677,0.76646,0.4745,0.38782,0.80625,0.0011625,0.0011625,0.0011625
30,1501.67,0.51372,0.41337,0.82176,0.95153,0.8514,0.92387,0.76975,0.49291,0.38518,0.80668,0.00115938,0.00115938,0.00115938
31,1551.69,0.49556,0.39624,0.82101,0.94386,0.85989,0.92646,0.77225,0.48679,0.38292,0.80693,0.00115625,0.00115625,0.00115625
