epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,941.771,0.54533,0.47839,0.82572,0.93336,0.84065,0.93483,0.78493,0.47335,0.43637,0.79836,0.00112188,0.00112188,0.00112188
43,964.091,0.57526,0.49726,0.82994,0.93933,0.86482,0.93272,0.76336,0.54607,0.44228,0.80274,0.00111875,0.00111875,0.00111875
44,986.3,0.53792,0.47277,0.82704,0.94781,0.86563,0.93,0.78138,0.49128,0.4338,0.79959,0.00111563,0.00111563,0.00111563
45,1008.57,0.55124,0.47672,0.82755,0.92854,0.8826,0.94052,0.77908,0.5364,0.43446,0.80391,0.0011125,0.0011125,0.0011125
46,1030.88,0.54239,0.46999,0.82507,0.92127,0.88159,0.93916,0.76893,0.54789,0.44464,0.8023,0.00110937,0.00110937,0.00110937
47,1053.08,0.52978,0.46018,0.82088,0.92772,0.87901,0.93831,0.7889,0.48423,0.42951,0.79836,0.00110625,0.00110625,0.00110625
48,1075.42,0.52364,0.45614,0.82319,0.91462,0.87398,0.93161,0.77314,0.5102,0.4415,0.79857,0.00110313,0.00110313,0.00110313
49,1097.58,0.52544,0.46505,0.8243,0.90463,0.87676,0.92511,0.75145,0.5641,0.46312,0.80346,0.0011,0.0011,0.0011
50,1119.75,0.53629,0.46112,0.82251,0.93602,0.87054,0.94109,0.77973,0.52107,0.4291,0.80156,0.00109687,0.00109687,0.00109687
51,1141.96,0.51867,0.44544,0.82043,0.93142,0.87558,0.94146,0.79334,0.48434,0.42306,0.79832,0.00109375,0.00109375,0.00109375
52,1164.41,0.5331,0.45555,0.82286,0.9098,0.87957,0.93936,0.79081,0.51369,0.43255,0.80271,0.00109063,0.00109063,0.00109063
53,1186.68,0.51967,0.44821,0.81933,0.92088,0.86606,0.9337,0.7921,0.47613,0.42724,0.79611,0.0010875,0.0010875,0.0010875
54,1208.93,0.50656,0.44296,0.82125,0.91899,0.87445,0.93809,0.77774,0.50389,0.42351,0.7983,0.00108438,0.00108438,0.00108438
55,1231.08,0.51624,0.44554,0.82241,0.90427,0.8538,0.92949,0.77072,0.5214,0.46031,0.804,0.00108125,0.00108125,0.00108125
56,1253.33,0.52978,0.45785,0.82226,0.92751,0.86079,0.92952,0.79069,0.47044,0.42293,0.79876,0.00107813,0.00107813,0.00107813
57,1275.65,0.51484,0.45086,0.82377,0.92254,0.86591,0.9344,0.76386,0.54082,0.44863,0.80345,0.001075,0.001075,0.001075
58,1298.28,0.52021,0.44759,0.8213,0.92671,0.86749,0.94017,0.79739,0.47122,0.42274,0.79924,0.00107188,0.00107188,0.00107188
59,1320.98,0.51928,0.44628,0.82298,0.91954,0.86266,0.93694,0.79276,0.48053,0.43412,0.79817,0.00106875,0.00106875,0.00106875
60,1343.34,0.51373,0.43783,0.81985,0.92432,0.88168,0.93674,0.78529,0.47979,0.4078,0.79697,0.00106563,0.00106563,0.00106563
61,1365.73,0.51872,0.43577,0.8194,0.91839,0.88218,0.9399,0.79937,0.4625,0.4211,0.80038,0.0010625,0.0010625,0.0010625
62,1388.08,0.5145,0.43364,0.82194,0.93786,0.8838,0.94327,0.78712,0.53333,0.4205,0.8024,0.00105937,0.00105937,0.00105937
63,1410.39,0.51682,0.43343,0.82179,0.91254,0.89018,0.9366,0.79666,0.46746,0.41053,0.79751,0.00105625,0.00105625,0.00105625
64,1432.7,0.50849,0.42808,0.81961,0.93506,0.88845,0.95119,0.8125,0.45428,0.39983,0.79461,0.00105313,0.00105313,0.00105313
65,1454.96,0.50904,0.42781,0.81986,0.94169,0.87788,0.94587,0.8012,0.49122,0.40539,0.799,0.00105,0.00105,0.00105
66,1477.19,0.5029,0.41932,0.8207,0.92765,0.87457,0.93861,0.79239,0.4786,0.41268,0.79913,0.00104688,0.00104688,0.00104688
67,1499.43,0.50056,0.42656,0.81884,0.9206,0.88156,0.94007,0.79734,0.4697,0.40501,0.79504,0.00104375,0.00104375,0.00104375
68,1521.71,0.5017,0.42304,0.81828,0.93608,0.87844,0.94266,0.80061,0.47427,0.40712,0.80191,0.00104063,0.00104063,0.00104063
69,1543.92,0.49419,0.41842,0.81946,0.91862,0.89427,0.94599,0.80161,0.4919,0.4087,0.79751,0.0010375,0.0010375,0.0010375
70,1566.19,0.50341,0.42926,0.81454,0.91481,0.89607,0.94715,0.79986,0.47106,0.40415,0.79666,0.00103438,0.00103438,0.00103438
71,1588.39,0.49489,0.41457,0.81918,0.91346,0.90153,0.94657,0.80458,0.45753,0.39173,0.79673,0.00103125,0.00103125,0.00103125
72,1610.62,0.50807,0.42865,0.82075,0.92891,0.86776,0.93518,0.79052,0.48407,0.414,0.79858,0.00102812,0.00102812,0.00102812
73,1632.78,0.50734,0.42164,0.81926,0.91859,0.88437,0.9417,0.81499,0.42582,0.39525,0.79145,0.001025,0.001025,0.001025
74,1655.05,0.49058,0.41048,0.81774,0.94334,0.88442,0.94535,0.79778,0.49577,0.40218,0.79784,0.00102187,0.00102187,0.00102187
75,1677.33,0.49367,0.41112,0.81576,0.93471,0.88553,0.94209,0.79518,0.48146,0.41377,0.79654,0.00101875,0.00101875,0.00101875
76,1699.56,0.48398,0.40677,0.81453,0.93893,0.87427,0.94366,0.80333,0.45962,0.39561,0.79703,0.00101563,0.00101563,0.00101563
