epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.739,1.18065,1.99566,1.01806,0.68565,0.61362,0.65986,0.40208,1.23028,1.56036,0.99065,0.00040625,0.00040625,0.00040625
2,48.2603,0.84651,0.92894,0.88793,0.73129,0.64324,0.714,0.47706,0.98534,1.10704,0.90246,0.000820859,0.000820859,0.000820859
3,71.6454,0.8243,0.80656,0.88733,0.78222,0.702,0.76472,0.53971,0.84451,0.89583,0.87498,0.00123339,0.00123339,0.00123339
4,95.0551,0.77844,0.7271,0.87051,0.83262,0.74147,0.8323,0.58931,0.78315,0.68862,0.85126,0.00124062,0.00124062,0.00124062
5,118.435,0.72846,0.6456,0.85697,0.79585,0.7415,0.83226,0.59312,0.77408,0.75815,0.85071,0.0012375,0.0012375,0.0012375
6,141.368,0.70314,0.62034,0.85817,0.85912,0.79427,0.86128,0.66362,0.6536,0.56835,0.83039,0.00123438,0.00123438,0.00123438
7,164.765,0.7121,0.59032,0.84978,0.84711,0.77873,0.85899,0.64806,0.69275,0.60266,0.83691,0.00123125,0.00123125,0.00123125
8,187.949,0.68961,0.57815,0.85364,0.87051,0.8053,0.88419,0.66931,0.63654,0.56553,0.82512,0.00122812,0.00122812,0.00122812
9,211.301,0.66287,0.55251,0.84767,0.87482,0.8182,0.88429,0.6738,0.64837,0.52574,0.82352,0.001225,0.001225,0.001225
10,234.599,0.63405,0.52399,0.84432,0.8893,0.80743,0.89294,0.69567,0.59912,0.51378,0.81787,0.00122188,0.00122188,0.00122188
11,257.965,0.643,0.53395,0.83552,0.87288,0.8135,0.88177,0.67943,0.63243,0.52103,0.82107,0.00121875,0.00121875,0.00121875
12,281.177,0.6426,0.53705,0.84258,0.84865,0.7989,0.87664,0.6665,0.65717,0.58187,0.82889,0.00121562,0.00121562,0.00121562
13,304.036,0.64555,0.53438,0.84445,0.88576,0.81885,0.88742,0.65692,0.67538,0.51263,0.82183,0.0012125,0.0012125,0.0012125
14,327.286,0.66164,0.52794,0.84079,0.90898,0.79021,0.88695,0.6985,0.59143,0.50198,0.81603,0.00120938,0.00120938,0.00120938
