epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3673,1.34853,2.95477,1.05907,0.05582,0.22626,0.13527,0.10291,1.10036,3.40355,0.90324,0.00040625,0.00040625,0.00040625
2,29.1841,1.08671,1.57647,0.95728,0.23865,0.60055,0.40796,0.24902,1.26188,2.41544,0.96583,0.000820859,0.000820859,0.000820859
3,42.7276,1.01756,1.29733,0.93655,0.65552,0.51371,0.57,0.35522,1.10718,1.62579,0.92473,0.00123339,0.00123339,0.00123339
4,56.2862,0.99325,1.17783,0.92308,0.748,0.60666,0.69634,0.45754,0.97859,1.08151,0.89722,0.00124062,0.00124062,0.00124062
5,69.8101,0.92215,1.059,0.90383,0.75859,0.65048,0.72686,0.47128,0.98964,0.98991,0.8856,0.0012375,0.0012375,0.0012375
6,83.2991,0.85846,0.98716,0.89359,0.79511,0.65204,0.72789,0.47157,1.02446,0.94597,0.89822,0.00123438,0.00123438,0.00123438
7,96.8195,0.85036,0.94089,0.88631,0.81871,0.6749,0.77938,0.55611,0.8391,0.83191,0.86139,0.00123125,0.00123125,0.00123125
8,110.433,0.8447,0.92708,0.88886,0.84102,0.71049,0.78643,0.53528,0.90044,0.81052,0.86972,0.00122812,0.00122812,0.00122812
9,123.854,0.78833,0.86863,0.876,0.80547,0.73329,0.797,0.55989,0.84814,0.77298,0.86293,0.001225,0.001225,0.001225
10,137.244,0.77638,0.8306,0.87047,0.8313,0.74322,0.81261,0.59444,0.72586,0.70786,0.84337,0.00122188,0.00122188,0.00122188
11,150.743,0.77403,0.79333,0.86157,0.81293,0.75429,0.81055,0.57672,0.80188,0.69636,0.84616,0.00121875,0.00121875,0.00121875
12,164.125,0.75775,0.78338,0.86743,0.84214,0.72911,0.82684,0.58961,0.80523,0.71709,0.84994,0.00121562,0.00121562,0.00121562
13,177.553,0.75051,0.78224,0.87127,0.79501,0.71812,0.8148,0.57408,0.84303,0.8107,0.85605,0.0012125,0.0012125,0.0012125
14,191.156,0.76493,0.76348,0.86161,0.79805,0.72929,0.79736,0.58742,0.7363,0.7283,0.84299,0.00120938,0.00120938,0.00120938
15,204.579,0.71723,0.73434,0.85168,0.85743,0.77162,0.83438,0.61071,0.75728,0.63725,0.83651,0.00120625,0.00120625,0.00120625
16,218.053,0.71145,0.71459,0.85275,0.85152,0.77434,0.83993,0.62592,0.68948,0.62698,0.8284,0.00120312,0.00120312,0.00120312
17,231.432,0.69907,0.69291,0.85318,0.85827,0.75157,0.82959,0.62634,0.65806,0.62457,0.82514,0.0012,0.0012,0.0012
18,244.884,0.69761,0.69053,0.85001,0.85134,0.76724,0.83549,0.62235,0.69397,0.60851,0.82617,0.00119688,0.00119688,0.00119688
19,258.301,0.71034,0.67543,0.85475,0.85043,0.77618,0.843,0.63499,0.66982,0.60481,0.82812,0.00119375,0.00119375,0.00119375
20,271.904,0.6841,0.6567,0.84881,0.86859,0.77309,0.85022,0.64381,0.68917,0.60593,0.83333,0.00119063,0.00119063,0.00119063
21,285.374,0.67926,0.6325,0.84582,0.87034,0.76841,0.83923,0.62989,0.68575,0.60877,0.82701,0.0011875,0.0011875,0.0011875
22,298.785,0.66898,0.63372,0.84428,0.88954,0.77739,0.85875,0.65128,0.63863,0.57655,0.81967,0.00118438,0.00118438,0.00118438
23,312.245,0.65397,0.62215,0.83805,0.87036,0.7836,0.85921,0.65501,0.63505,0.56183,0.8202,0.00118125,0.00118125,0.00118125
24,325.687,0.67433,0.63098,0.84416,0.88581,0.77453,0.85834,0.66802,0.58239,0.57529,0.81469,0.00117813,0.00117813,0.00117813
25,339.128,0.68587,0.62379,0.84215,0.87806,0.76804,0.85344,0.66864,0.59687,0.56904,0.81408,0.001175,0.001175,0.001175
26,352.995,0.68253,0.61706,0.84756,0.85991,0.78464,0.85946,0.68268,0.56045,0.55175,0.81125,0.00117187,0.00117187,0.00117187
27,366.46,0.68223,0.6073,0.84075,0.8448,0.80411,0.85965,0.65277,0.65293,0.55397,0.81975,0.00116875,0.00116875,0.00116875
