epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4804,1.25809,2.78223,1.06629,0.05508,0.42633,0.24963,0.18244,1.03175,3.14337,0.93449,0.000464425,0.000464425,0.000464425
2,47.4547,0.97319,1.51685,0.96154,0.92473,0.23437,0.63161,0.41649,1.06342,2.28554,0.94246,0.000936055,0.000936055,0.000936055
3,69.886,0.88892,1.30581,0.9283,0.76439,0.57075,0.71961,0.50884,0.9534,1.55897,0.92118,0.00140292,0.00140292,0.00140292
4,92.1525,0.85625,1.18615,0.90951,0.77406,0.71436,0.79846,0.57906,0.87032,1.06665,0.89113,0.00140756,0.00140756,0.00140756
5,114.442,0.80629,1.06695,0.89199,0.78416,0.76624,0.83859,0.59949,0.92566,0.95995,0.90719,0.00140042,0.00140042,0.00140042
6,136.696,0.75958,0.9984,0.89011,0.8445,0.76224,0.85672,0.63491,0.79042,0.84171,0.86615,0.00139327,0.00139327,0.00139327
7,158.932,0.75696,0.94846,0.88337,0.87058,0.76451,0.87516,0.6852,0.65579,0.77911,0.8442,0.00138613,0.00138613,0.00138613
8,181.186,0.76537,0.94714,0.88995,0.84887,0.82564,0.88841,0.64085,0.81231,0.77739,0.86861,0.00137898,0.00137898,0.00137898
9,203.364,0.705,0.8718,0.87125,0.86825,0.82767,0.89375,0.66297,0.79331,0.73779,0.86136,0.00137184,0.00137184,0.00137184
10,225.45,0.6813,0.82503,0.86377,0.85736,0.82802,0.899,0.6864,0.71196,0.71114,0.84071,0.00136469,0.00136469,0.00136469
11,247.611,0.68791,0.78204,0.85972,0.86249,0.84294,0.90762,0.70599,0.66653,0.65501,0.83722,0.00135755,0.00135755,0.00135755
12,269.661,0.67239,0.77557,0.86088,0.86762,0.78801,0.89593,0.68109,0.74387,0.70202,0.84699,0.00135041,0.00135041,0.00135041
13,291.749,0.66084,0.75796,0.86395,0.87791,0.83843,0.91096,0.70197,0.70653,0.63627,0.8407,0.00134326,0.00134326,0.00134326
14,313.82,0.68005,0.73734,0.86368,0.86668,0.83439,0.90685,0.7159,0.64363,0.63729,0.83511,0.00133611,0.00133611,0.00133611
15,336.011,0.63209,0.70309,0.85313,0.90214,0.83522,0.91774,0.72186,0.65292,0.60381,0.82657,0.00132897,0.00132897,0.00132897
16,358.064,0.62669,0.70015,0.85648,0.89622,0.831,0.91429,0.71943,0.66622,0.59561,0.83317,0.00132182,0.00132182,0.00132182
17,380.029,0.62055,0.66105,0.84936,0.88729,0.84665,0.92211,0.74288,0.59022,0.56125,0.817,0.00131468,0.00131468,0.00131468
18,402.102,0.61893,0.65431,0.84776,0.89467,0.84046,0.91752,0.74362,0.59185,0.56287,0.82306,0.00130754,0.00130754,0.00130754
19,424.244,0.63259,0.64583,0.85469,0.90307,0.85694,0.92748,0.75313,0.58513,0.5391,0.81902,0.00130039,0.00130039,0.00130039
20,446.313,0.60501,0.6224,0.85188,0.9101,0.85848,0.92747,0.73842,0.63751,0.55165,0.82921,0.00129324,0.00129324,0.00129324
21,468.381,0.59353,0.59262,0.84217,0.89213,0.8561,0.91277,0.7313,0.62123,0.55239,0.82143,0.0012861,0.0012861,0.0012861
22,490.406,0.58218,0.58703,0.84344,0.90828,0.85813,0.9292,0.76277,0.56586,0.52816,0.81675,0.00127896,0.00127896,0.00127896
23,512.458,0.58012,0.5762,0.8379,0.92026,0.85851,0.93511,0.75442,0.60159,0.52016,0.81932,0.00127181,0.00127181,0.00127181
24,534.487,0.58814,0.57596,0.84321,0.89471,0.86903,0.9295,0.77298,0.51766,0.52024,0.80873,0.00126466,0.00126466,0.00126466
25,556.57,0.57465,0.55821,0.83537,0.88266,0.87085,0.93654,0.77755,0.5344,0.50313,0.81635,0.00125752,0.00125752,0.00125752
26,578.634,0.57665,0.55799,0.84295,0.89892,0.87002,0.93079,0.77179,0.52284,0.5056,0.81073,0.00125037,0.00125037,0.00125037
27,600.7,0.57148,0.55091,0.83908,0.89949,0.87333,0.9363,0.76375,0.57945,0.49978,0.82012,0.00124323,0.00124323,0.00124323
28,622.733,0.57653,0.54087,0.83621,0.89769,0.85471,0.92682,0.77848,0.52163,0.50215,0.80961,0.00123608,0.00123608,0.00123608
