epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4038,1.42716,2.12127,1.06671,0.62049,0.49735,0.53622,0.33328,1.08955,1.61547,0.90332,0.00040625,0.00040625,0.00040625
2,25.7884,1.13879,1.05756,0.93784,0.68503,0.49809,0.55301,0.34966,0.99903,1.08997,0.8768,0.00081477,0.00081477,0.00081477
3,37.8581,1.07297,0.92825,0.92982,0.67604,0.58223,0.62853,0.38225,1.04015,0.93428,0.88038,0.00121504,0.00121504,0.00121504
4,49.9403,1.03072,0.94091,0.92058,0.72902,0.58859,0.64391,0.37375,1.12157,0.91205,0.89623,0.00121287,0.00121287,0.00121287
5,61.8843,1.04287,0.84331,0.91507,0.68853,0.61721,0.64725,0.4138,0.99781,1.02502,0.87101,0.0012005,0.0012005,0.0012005
6,73.9864,1.01059,0.78788,0.90455,0.73011,0.62921,0.68426,0.44539,0.94638,0.8098,0.85722,0.00118812,0.00118812,0.00118812
7,86.051,0.97918,0.75923,0.89811,0.7917,0.64496,0.71558,0.47161,0.87208,0.73553,0.84946,0.00117575,0.00117575,0.00117575
8,98.2215,0.9565,0.74269,0.89214,0.80376,0.64945,0.74041,0.4991,0.8359,0.67589,0.84284,0.00116337,0.00116337,0.00116337
9,110.312,0.91135,0.72786,0.88623,0.77242,0.65351,0.70298,0.45641,0.89811,0.71994,0.84801,0.001151,0.001151,0.001151
10,122.289,0.93459,0.72057,0.89311,0.82909,0.65147,0.7446,0.49405,0.86021,0.63365,0.83998,0.00113863,0.00113863,0.00113863
11,134.201,0.91014,0.72002,0.88111,0.81483,0.68083,0.75757,0.50458,0.84704,0.60236,0.83694,0.00112625,0.00112625,0.00112625
12,146.289,0.91508,0.6989,0.88682,0.8406,0.66343,0.74513,0.49444,0.81155,0.62348,0.83865,0.00111388,0.00111388,0.00111388
13,158.192,0.90352,0.70001,0.88261,0.78293,0.68193,0.74396,0.50708,0.78477,0.60925,0.83398,0.0011015,0.0011015,0.0011015
14,170.359,0.86294,0.65613,0.86947,0.82385,0.66663,0.74083,0.49213,0.84135,0.60193,0.83674,0.00108913,0.00108913,0.00108913
15,182.29,0.87007,0.66416,0.87808,0.84845,0.6877,0.76936,0.53821,0.78607,0.56045,0.83305,0.00107675,0.00107675,0.00107675
16,194.335,0.85104,0.66565,0.87501,0.82057,0.68139,0.75469,0.51586,0.80903,0.58854,0.83321,0.00106437,0.00106437,0.00106437
17,206.241,0.86459,0.66722,0.87961,0.8424,0.7065,0.77882,0.54863,0.74811,0.53866,0.82792,0.001052,0.001052,0.001052
18,218.284,0.87736,0.64696,0.87092,0.85456,0.71149,0.78094,0.51989,0.82364,0.56435,0.83505,0.00103962,0.00103962,0.00103962
19,230.219,0.84728,0.63232,0.87276,0.8217,0.68682,0.76524,0.55394,0.69013,0.55472,0.81966,0.00102725,0.00102725,0.00102725
20,242.429,0.84471,0.63407,0.86912,0.81764,0.69157,0.76457,0.54055,0.72913,0.5528,0.82342,0.00101488,0.00101488,0.00101488
21,254.344,0.83988,0.62371,0.86496,0.82835,0.70443,0.77545,0.54863,0.76675,0.53556,0.82911,0.0010025,0.0010025,0.0010025
22,266.248,0.81594,0.61512,0.86672,0.8555,0.71007,0.78461,0.54922,0.7479,0.52429,0.8207,0.000990125,0.000990125,0.000990125
23,278.114,0.80947,0.59986,0.86512,0.84967,0.69133,0.78094,0.53923,0.75081,0.54032,0.82376,0.00097775,0.00097775,0.00097775
