epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,843.041,0.5188,0.44692,0.82377,0.91782,0.92091,0.96342,0.8303,0.46599,0.39298,0.7944,0.000848969,0.000848969,0.000848969
43,862.821,0.52108,0.45432,0.82195,0.93702,0.91678,0.96559,0.83211,0.44328,0.38458,0.79214,0.000834822,0.000834822,0.000834822
44,882.573,0.50045,0.4425,0.81941,0.94171,0.91063,0.96405,0.81836,0.4926,0.39572,0.7955,0.000820675,0.000820675,0.000820675
45,902.357,0.50707,0.44132,0.81931,0.93551,0.91243,0.96005,0.8315,0.45274,0.38428,0.79286,0.000806528,0.000806528,0.000806528
46,922.169,0.51414,0.43056,0.82146,0.94253,0.91274,0.96372,0.84264,0.43248,0.37704,0.79164,0.00079238,0.00079238,0.00079238
47,942.068,0.5147,0.43473,0.82246,0.9383,0.91392,0.96323,0.83138,0.45194,0.38357,0.79245,0.000778233,0.000778233,0.000778233
48,961.843,0.50142,0.43196,0.81941,0.93712,0.91332,0.96401,0.83991,0.44021,0.38212,0.79166,0.000764086,0.000764086,0.000764086
49,981.924,0.50604,0.4286,0.81759,0.93359,0.91954,0.96259,0.83321,0.45738,0.37688,0.79014,0.000749939,0.000749939,0.000749939
50,1001.78,0.50727,0.4256,0.81594,0.9576,0.91199,0.969,0.85242,0.40948,0.36156,0.78813,0.000735792,0.000735792,0.000735792
51,1022,0.51075,0.42773,0.82207,0.94209,0.91442,0.96464,0.84464,0.43145,0.36964,0.78936,0.000721645,0.000721645,0.000721645
52,1042.32,0.50944,0.42379,0.82016,0.93427,0.92594,0.96314,0.84122,0.43424,0.3723,0.79033,0.000707498,0.000707498,0.000707498
53,1062.08,0.49458,0.41552,0.81574,0.94111,0.91961,0.97022,0.85078,0.41848,0.36286,0.7876,0.000693351,0.000693351,0.000693351
54,1081.8,0.48454,0.40997,0.82105,0.93751,0.91159,0.96806,0.84074,0.45085,0.37729,0.79205,0.000679204,0.000679204,0.000679204
55,1101.53,0.49058,0.41112,0.81884,0.93945,0.91808,0.97105,0.85163,0.45054,0.36732,0.79377,0.000665057,0.000665057,0.000665057
56,1121.34,0.48037,0.40558,0.81385,0.95712,0.90186,0.96758,0.84479,0.43088,0.37378,0.78765,0.000650909,0.000650909,0.000650909
57,1141.41,0.47443,0.40359,0.81634,0.9468,0.91729,0.96359,0.84785,0.41453,0.36247,0.78743,0.000636762,0.000636762,0.000636762
58,1161.1,0.47409,0.40049,0.81556,0.95695,0.91934,0.97009,0.8477,0.43347,0.35611,0.78845,0.000622615,0.000622615,0.000622615
59,1181.34,0.49294,0.40901,0.81859,0.95271,0.93194,0.96898,0.85452,0.3963,0.35299,0.7863,0.000608468,0.000608468,0.000608468
60,1201.22,0.48625,0.40151,0.81505,0.96069,0.92805,0.97028,0.85389,0.41348,0.34824,0.78778,0.000594321,0.000594321,0.000594321
61,1221.07,0.47693,0.39405,0.81333,0.95832,0.91987,0.96759,0.85488,0.40208,0.35194,0.78599,0.000580174,0.000580174,0.000580174
62,1240.86,0.48066,0.38961,0.81274,0.96955,0.90867,0.97053,0.85315,0.41233,0.34908,0.786,0.000566027,0.000566027,0.000566027
63,1261.14,0.48163,0.39342,0.81551,0.96743,0.91624,0.97126,0.855,0.41425,0.34771,0.7867,0.00055188,0.00055188,0.00055188
64,1281,0.47614,0.39058,0.81579,0.97125,0.91567,0.97277,0.85272,0.42464,0.35371,0.7871,0.000537733,0.000537733,0.000537733
65,1300.88,0.48259,0.39047,0.81337,0.95805,0.92607,0.97025,0.84537,0.44319,0.35766,0.78937,0.000523586,0.000523586,0.000523586
66,1320.71,0.46667,0.38418,0.81243,0.9477,0.92641,0.97124,0.8533,0.41045,0.34765,0.78652,0.000509438,0.000509438,0.000509438
67,1340.94,0.47197,0.38634,0.81146,0.9594,0.92024,0.97113,0.85427,0.41761,0.34608,0.78611,0.000495291,0.000495291,0.000495291
68,1361.23,0.46944,0.38526,0.81014,0.96475,0.90947,0.97072,0.85525,0.41723,0.34525,0.78636,0.000481144,0.000481144,0.000481144
69,1381.13,0.47172,0.3839,0.81467,0.9533,0.91886,0.97099,0.85632,0.40395,0.3443,0.78589,0.000466997,0.000466997,0.000466997
70,1400.94,0.45339,0.37245,0.80963,0.95885,0.92109,0.97306,0.8494,0.43497,0.35279,0.78721,0.00045285,0.00045285,0.00045285
71,1421.14,0.46703,0.38128,0.81334,0.95253,0.92463,0.97097,0.84631,0.44928,0.351,0.78898,0.000438703,0.000438703,0.000438703
72,1440.84,0.45398,0.37234,0.80675,0.96283,0.92154,0.97331,0.86492,0.38981,0.33559,0.78503,0.000424556,0.000424556,0.000424556
73,1461.08,0.45686,0.36685,0.80755,0.95593,0.92626,0.97129,0.86398,0.38874,0.33536,0.78515,0.000410409,0.000410409,0.000410409
74,1481.33,0.46037,0.37451,0.81044,0.96186,0.9235,0.97429,0.85944,0.39894,0.34,0.78474,0.000396262,0.000396262,0.000396262
75,1501.51,0.45766,0.37013,0.81105,0.96058,0.92011,0.97306,0.86855,0.39299,0.33658,0.78459,0.000382115,0.000382115,0.000382115
76,1521.76,0.45132,0.36791,0.80668,0.95268,0.93051,0.97102,0.86371,0.39058,0.339,0.78344,0.000367967,0.000367967,0.000367967
77,1542.06,0.46255,0.37336,0.80803,0.96299,0.92532,0.9744,0.86471,0.39488,0.32808,0.78388,0.00035382,0.00035382,0.00035382
78,1562.18,0.44618,0.3603,0.81425,0.95753,0.92458,0.97199,0.86228,0.40237,0.32819,0.78333,0.000339673,0.000339673,0.000339673
79,1582.4,0.44813,0.36249,0.80592,0.96617,0.9212,0.97348,0.86757,0.37945,0.32146,0.78203,0.000325526,0.000325526,0.000325526
80,1602.52,0.44664,0.3613,0.80844,0.96162,0.9304,0.97488,0.86736,0.38065,0.32148,0.78165,0.000311379,0.000311379,0.000311379
81,1622.4,0.44687,0.36292,0.8121,0.95934,0.92954,0.97247,0.86698,0.38259,0.32119,0.78267,0.000297232,0.000297232,0.000297232
82,1642.3,0.46216,0.36806,0.80967,0.96256,0.92811,0.97295,0.86435,0.39936,0.32979,0.78311,0.000283085,0.000283085,0.000283085
83,1662.04,0.44681,0.36124,0.80607,0.9682,0.91963,0.97456,0.86514,0.39115,0.3244,0.78262,0.000268938,0.000268938,0.000268938
84,1681.83,0.44978,0.35923,0.81069,0.96188,0.93567,0.97539,0.86782,0.38692,0.32257,0.78276,0.000254791,0.000254791,0.000254791
85,1701.48,0.43751,0.35383,0.8079,0.96506,0.9292,0.97563,0.87106,0.38476,0.31852,0.78256,0.000240644,0.000240644,0.000240644
86,1721.34,0.43278,0.35043,0.80796,0.9521,0.93679,0.97322,0.8691,0.37749,0.31898,0.78192,0.000226497,0.000226497,0.000226497
87,1741.15,0.43656,0.35313,0.80805,0.9548,0.93403,0.97385,0.86296,0.40041,0.325,0.78381,0.000212349,0.000212349,0.000212349
88,1760.96,0.44993,0.35681,0.80226,0.96299,0.92542,0.97398,0.8698,0.37431,0.32159,0.78068,0.000198202,0.000198202,0.000198202
89,1780.76,0.43825,0.35253,0.80939,0.96638,0.93296,0.97672,0.87584,0.35972,0.31006,0.77937,0.000184055,0.000184055,0.000184055
90,1800.65,0.43473,0.34484,0.8041,0.95726,0.93204,0.9738,0.87503,0.37347,0.31235,0.78039,0.000169908,0.000169908,0.000169908
91,1820.42,0.4045,0.33388,0.79536,0.95519,0.92549,0.971,0.86562,0.3728,0.32272,0.78021,0.000155761,0.000155761,0.000155761
92,1839.15,0.397,0.3219,0.79766,0.95518,0.92975,0.9727,0.86322,0.39105,0.32208,0.78141,0.000141614,0.000141614,0.000141614
93,1857.87,0.3939,0.32192,0.79411,0.95541,0.93017,0.97133,0.86044,0.40241,0.32352,0.7828,0.000127467,0.000127467,0.000127467
94,1876.62,0.39113,0.31778,0.78953,0.95466,0.93705,0.97389,0.86033,0.40321,0.32031,0.78427,0.00011332,0.00011332,0.00011332
95,1895.37,0.40171,0.32209,0.79276,0.95187,0.93965,0.97443,0.87527,0.37073,0.31148,0.78179,9.91726e-05,9.91726e-05,9.91726e-05
96,1914.12,0.38527,0.31035,0.79432,0.95842,0.93096,0.97256,0.86652,0.39131,0.31407,0.78206,8.50255e-05,8.50255e-05,8.50255e-05
97,1932.86,0.39249,0.31308,0.79618,0.95915,0.93699,0.97557,0.87186,0.37203,0.30712,0.78096,7.08784e-05,7.08784e-05,7.08784e-05
98,1951.6,0.3863,0.31022,0.79259,0.96103,0.933,0.97548,0.87243,0.37446,0.30586,0.7805,5.67313e-05,5.67313e-05,5.67313e-05
99,1970.33,0.38596,0.31041,0.79228,0.95836,0.93146,0.97411,0.86835,0.38619,0.30937,0.78114,4.25842e-05,4.25842e-05,4.25842e-05
100,1989.06,0.36955,0.30482,0.7913,0.96418,0.93401,0.97529,0.87457,0.36865,0.3057,0.78013,2.84371e-05,2.84371e-05,2.84371e-05
